"2026-04-08 15:37:13,845 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getMe "HTTP/1.1 200 OK""
"2026-04-08 15:37:14,066 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/deleteWebhook "HTTP/1.1 200 OK""
"2026-04-08 15:37:14,068 ; telegram.ext.Application ; INFO ; Application started"
"2026-04-08 15:37:19,916 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:37:19,917 ; main_logger ; INFO ; Usuario 5403703132 escribe 7538066"
"2026-04-08 15:37:20,810 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/sendMessage "HTTP/1.1 200 OK""
"2026-04-08 15:37:22,217 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:37:22,524 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/sendMessage "HTTP/1.1 200 OK""
"2026-04-08 15:37:24,846 ; main_logger ; ERROR ; Unauthorized: Credenciales incorrectas."
"2026-04-08 15:37:25,157 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/sendMessage "HTTP/1.1 200 OK""
"2026-04-08 15:37:32,392 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:37:42,579 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:37:52,825 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:03,005 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:13,201 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:23,417 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:33,612 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:43,791 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:38:53,984 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:04,175 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:14,366 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:24,553 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:34,738 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:39,094 ; httpx ; INFO ; HTTP Request: POST https://api.telegram.org/bot7359250833:AAFTwh35Tp9-1qIIiGY9AMpq2m2tcai01-k/getUpdates "HTTP/1.1 200 OK""
"2026-04-08 15:39:39,094 ; telegram.ext.Application ; INFO ; Application is stopping. This might take a moment."
"2026-04-08 15:39:39,094 ; telegram.ext.Application ; INFO ; Application.stop() complete"
